code,name_full,name_short,name_abbrev,principal_activities,industry_group_name,sector_name,listing_date,delisting_date,web_address,mailing_address,phone_number,fax_number,registry_name,registry_address,registry_phone_number,foreign_exempt,logo_image_url,primary_share_code,recent_announcement,products,latest_annual_reports_id,latest_annual_reports_release_date,latest_annual_reports_document_date,latest_annual_reports_url,latest_annual_reports_title,is_latest_annual_reports_market_sensitive,latest_annual_reports_no_of_pages,isin_code,product_desc,last_price,open_price,day_high_price,day_low_price,change_price,change_in_percent,volume,bid_price,offer_price,previous_close_price,previous_day_percentage_change,year_high_price,year_high_date,year_low_price,year_low_date,last_trade_date,price_to_earning_ratio,earning_per_share,average_daily_volume,annual_dividend_yield,market_cap,number_of_shares,deprecated_market_cap,deprecated_number_of_shares,suspended,indices_index_code,last_dividend_announce_date,last_dividend_ex_date,last_dividend_payable_date,last_dividend_record_date,last_dividend_amount_in_dollars,last_dividend_raw_franked_percentage,last_dividend_type,last_dividend_comments,last_dividend_books_close_date,fundamental_data_date
4CE,FORCE COMMODITIES LIMITED,FORCECOM,FORCE COM LTD,"The Company is an exploration company focussed on advanced African-based mining and metals opportunities which include project interests in lead, silver and lithium.",Materials,Metals & Mining,2010-12-03T00:00:00+1100,,http://www.forcecommodities.com.au,"Unit 48, First Floor, 1008 Wellington Street, WEST PERTH, WA, AUSTRALIA, 6005",(08) 6462 1421,(08) 6323 3347,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,false,,4CE,false,"""shares""",,,,,,,,AU0000004CE0,Ordinary Fully Paid,0.012,0,0,0,0.000,0%,0,0,0,0.012,0%,0.023,2019-08-12T00:00:00+1000,0,2020-08-11T00:00:00+1000,2020-08-11T00:00:00+1000,0,-0.0209,0,0,-1,557654757,0,557654757,true,,,,,,,,,,,2020-08-11 00:00:00.000
4DS,4DS MEMORY LIMITED,4DSMEMORY,4DS MEMORY LIMITED,Creation of electronic memory storage.,Semiconductors & Semiconductor Equipment,Information Technology,2010-12-09T00:00:00+1100,,http://www.4dsmemory.com,"Level 2, 50 Kings Park Road, WEST PERTH, WA, AUSTRALIA, 6005",(08) 6377 8043,(08) 6377 8043,AUTOMIC REGISTRY SERVICES,"LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,false,,4DS,false,"""shares""",02164298,2019-10-25T17:58:47+1100,2019-10-25T17:53:09+1100,http://www.asx.com.au/asxpdf/20191025/pdf/449wywqlrf4t16.pdf,Annual Report to shareholders,false,68,AU0000004DS8,Ordinary Fully Paid,0.045,0.044,0.045,0.043,0.001,2.273%,3608273,0.044,0.045,0.044,-15.385%,0.094,2019-10-03T00:00:00+1000,0.025,2020-03-24T00:00:00+1100,2020-08-11T00:00:00+1000,0,-0.0059,3103982,0,57626513,1309693486,58936000,1309693486,false,,,,,,,,,,,2020-08-11 00:00:00.000
4DX,4DMEDICAL LIMITED,4DMEDICAL,4DMEDICAL LIMITED,Medical imaging software and hardware provider,Class Pend,Class Pend,2020-08-07T00:00:00+1000,,https://4dmedical.com/,"Suite 501 Level 5, 468 St Kilda Road, MELBOURNE, VIC, AUSTRALIA, 3004",+61 3 9545 5940,+61,LINK MARKET SERVICES LIMITED,"Tower 4, 727 Collins Street, DOCKLANDS, VIC, AUSTRALIA, 3008",1300 554 474,false,https://www.asx.com.au/asx/1/image/logo/4DX?image_size=L&v=1596757183000,4DX,true,"""shares""",,,,,,,,AU0000095416,Ordinary Fully Paid,1.64,1.73,1.73,1.59,-0.06,-3.529%,4955338,1.605,1.65,1.7,6.918%,1.93,2020-08-10T00:00:00+1000,1.25,2020-08-07T00:00:00+1000,2020-08-11T00:00:00+1000,0,0,24060609,0,450096090,264762406,270955000,165216313,false,,,,,,,,,,,2020-08-11 00:00:00.000
5GN,5G NETWORKS LIMITED,5G NETWORK,5G NETWORKS LIMITED,"Data Network and Cloud services, including Manage IT services.",Telecommunication Services,Communication Services,2017-11-17T00:00:00+1100,,http://www.5gnetworks.com.au,"Level 8, 99 William Street, MELBOURNE, VIC, AUSTRALIA, 3000",03 8630 7777,03 8630 3799,LINK MARKET SERVICES LIMITED,"Level 21, 10 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 554 474,false,https://www.asx.com.au/asx/1/image/logo/5GN?image_size=L&v=1508286355000,5GN,false,"""shares""",02138106,2019-08-26T09:35:13+1000,2019-08-26T09:11:35+1000,http://www.asx.com.au/asxpdf/20190826/pdf/447v484d83n99z.pdf,Appendix 4E & Full Year Statutory Accounts,true,39,AU0000005GN9,Ordinary Fully Paid,1.835,1.895,1.935,1.82,-0.040,-2.133%,1002472,1.835,1.88,1.875,4.167%,2.07,2020-07-28T00:00:00+1000,0.54,2020-03-23T00:00:00+1100,2020-08-11T00:00:00+1000,0,-0.0551,1622808,0,171080668,91243023,167431000,91243023,false,,2019-08-26T00:00:00+1000,2019-09-19T00:00:00+1000,2019-10-18T00:00:00+1100,2019-09-20T00:00:00+1000,0.01,100.0,Final,1C FRANKED@30%; DRP  NIL DISCOUNT,2019-09-20T00:00:00+1000,2020-08-11 00:00:00.000
88E,88 ENERGY LIMITED,88 ENERGY,88 ENERGY LTD,Oil and Gas Exploration.,Energy,Energy,2000-01-20T00:00:00+1100,,http://www.88energy.com,"Level 2,, 5 Ord Street, WEST PERTH, WA, AUSTRALIA, 6005",+61 8 9485 0990,+61 8 9321 8990,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,false,,88E,false,"""shares""",02207226,2020-02-26T15:05:41+1100,2020-02-26T15:02:01+1100,http://www.asx.com.au/asxpdf/20200226/pdf/44fh3qrhjs4d9n.pdf,Annual Report to shareholders,false,71,AU00000088E2,Ordinary Fully Paid,0.005,0.005,0.005,0.005,0.000,0%,11843900,0.005,0.006,0.005,0%,0.026,2020-02-19T00:00:00+1100,0.004,2020-07-22T00:00:00+1000,2020-08-11T00:00:00+1000,0,-0.0058,13617936,0,43812545,8762509023,43813000,8762509023,false,XEC,,,,,,,,,,2020-08-11 00:00:00.000
8CO,8COMMON LIMITED,8COMMONLTD,8COMMON LIMITED,The development and distribution of two established software solutions.,Software & Services,Information Technology,2014-08-27T00:00:00+1000,,http://www.8common.com,"Walker Wayland NSW Chartered Accountants, Suite 1, Level 11, 60 Castlereagh Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9387 2509,N/A,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,false,,8CO,false,"""shares""",02154134,2019-10-01T10:27:24+1000,2019-10-01T10:15:51+1000,http://www.asx.com.au/asxpdf/20191001/pdf/4492yqm0psj1td.pdf,Full Year Statutory Accounts,false,63,AU0000008CO0,Ordinary Fully Paid,0.075,0.076,0.076,0.07,0.000,0%,665207,0.074,0.075,0.075,8.696%,0.13,2019-11-19T00:00:00+1100,0.045,2020-03-24T00:00:00+1100,2020-08-11T00:00:00+1000,0,-0.0038,610612,0,13718784,182917118,13719000,182917118,false,,,,,,,,,,,2020-08-11 00:00:00.000
8EC,8IP EMERGING COMPANIES LIMITED,8IP EMERG,8IP EMERG CO LTD,Investment in a concentrated portfolio of primarily companies listed on the ASX with a market capitalisation of less than $500 million at the time of first purchase.,Not Applic,Not Applic,2015-12-01T00:00:00+1100,,http://www.8EC.com.au,"C/- Boardroom Pty Limited, Level 12, 225 George Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8274 2088,,BOARDROOM PTY LIMITED,"LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,false,,8EC,false,"""shares""",02146170,2019-09-12T09:47:53+1000,2019-09-12T09:34:50+1000,http://www.asx.com.au/asxpdf/20190912/pdf/448gdds1ykv44t.pdf,2019 Annual Report - Correction,false,53,AU0000008EC1,Ordinary Fully Paid,0.078,0,0,0,0.000,0%,0,0,0,0.078,0%,0.022,2020-02-28T00:00:00+1100,0,2020-08-11T00:00:00+1000,2020-08-11T00:00:00+1000,0,-0.0334,0,0,-1,41018108,0,41018108,true,,,,,,,,,,,2020-08-11 00:00:00.000
8IH,8I HOLDINGS LTD,8I HOLD,8I HOLDINGS LTD,Investment Business and Financial Education.,Diversified Financials,Financials,2014-12-17T00:00:00+1100,,http://8iholdings.com/,"C/- SmallCap Corporate Pty Ltd, Suite 6, 295 Rokeby Rd, SUBIACO, WA, AUSTRALIA, 6008",+61 8 6555 2950,+61 8 6166 0261,BOARDROOM PTY LIMITED,"LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,false,https://www.asx.com.au/asx/1/image/logo/8IH?image_size=L&v=1418697427000,8IH,false,"""shares""",02249684,2020-06-30T14:11:59+1000,2020-06-30T14:06:39+1000,http://www.asx.com.au/asxpdf/20200630/pdf/44k2r8frzl0qkw.pdf,Annual Report to shareholders,false,95,AU0000008IH1,Chess Depositary Interests 1:1,0.14,0,0,0,0.00,0%,0,0.12,0.14,0.14,0%,0.165,2020-07-27T00:00:00+1000,0,2020-08-11T00:00:00+1000,2020-08-11T00:00:00+1000,0,-0.0114,83870,0,50646273,361759091,0,361759091,false,,,,,,,,,,,2020-08-11 00:00:00.000
8VI,8VI HOLDINGS LIMITED,8VIHOLD,8VI HOLDINGS LIMITED,Financial education,Consumer Services,Consumer Discretionary,2015-12-16T00:00:00+1100,,https://8vicglobal.com,"Goldbell Towers, 47 Scotts Road, #03-03/, SINGAPORE, ., SINGAPORE, 228233",+65 6225 8480,-,LINK MARKET SERVICES LIMITED,"Level 12 QV1 Building, 250 St Georges Terrace Perth, PERTH, WA, AUSTRALIA, 6000",1300 554 474,false,https://www.asx.com.au/asx/1/image/logo/8VI?image_size=L&v=1592896960000,8VI,false,"""shares""",02249707,2020-06-30T14:47:39+1000,2020-06-30T14:42:37+1000,http://www.asx.com.au/asxpdf/20200630/pdf/44k2sv244vwmqn.pdf,Annual Report to shareholders,false,90,AU0000026007,Chess Depositary Interests 1:1,0.6,0,0,0,0.0,0%,0,0.6,0,0.6,0%,0.68,2020-07-20T00:00:00+1000,0,2020-08-11T00:00:00+1000,2020-08-11T00:00:00+1000,20,0.03,10412,0,26146467,43577445,26146000,43577445,false,,,,,,,,,,,2020-08-11 00:00:00.000
9SP,9 SPOKES INTERNATIONAL LIMITED,9SPOKES,9 SPOKES INT LIMITED,Software as a Service Provider,Software & Services,Information Technology,2016-06-09T00:00:00+1000,,http://www.9spokes.com,"Level 4, Aecom House, 8 Mahuhu Crescent, AUCKLAND, NZ, NEW ZEALAND, 1010",TBA,,BOARDROOM PTY LIMITED,"LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,false,,9SP,false,"""shares""",02255395,2020-07-15T16:06:29+1000,2020-07-15T15:56:55+1000,http://www.asx.com.au/asxpdf/20200715/pdf/44kkflsjrlqn62.pdf,Reissued Annual Report,false,74,NZ9SPE0001S1,Ordinary Fully Paid,0.033,0.035,0.035,0.033,-0.002,-5.714%,6198906,0.033,0.034,0.035,0%,0.063,2020-07-21T00:00:00+1000,0.008,2020-03-23T00:00:00+1100,2020-08-11T00:00:00+1000,0,-0.0053,19987283,0,42544581,1215559455,40113000,1215559455,false,,,,,,,,,,,2020-08-11 00:00:00.000
A1G,AFRICAN GOLD LTD.,AFR GOLD,AFRICAN GOLD LTD.,Mining and Exploration,Materials,Metals & Mining,2019-02-14T00:00:00+1100,,http://african-gold.com,"Suite 23, 513 Hay Street, SUBIACO, WA, AUSTRALIA, 6008",08 6166 9161,,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,false,,A1G,false,"""shares""",02220615,2020-03-31T19:12:18+1100,2020-03-31T18:59:34+1100,http://www.asx.com.au/asxpdf/20200331/pdf/44gkz5c0m4gb8g.pdf,Annual Report to shareholders,false,67,AU0000036949,Ordinary Fully Paid,0.18,0.175,0.18,0.17,0.005,2.857%,330944,0.175,0.18,0.175,-5.405%,0.26,2019-10-09T00:00:00+1100,0.038,2020-03-26T00:00:00+1100,2020-08-11T00:00:00+1000,0,-0.019,176429,0,10296177,58835295,5470000,30391544,false,,,,,,,,,,,2020-08-11 00:00:00.000
A1M,AIC MINES LIMITED,A1MINESLTD,AIC MINES LTD,Mining and exploration,Materials,Metals & Mining,1993-11-04T00:00:00+1100,,http://www.aicmines.com.au,"A8, Level 1, 435 Roberts Road, SUBIACO, WA, AUSTRALIA, 6008",+61 8 6269 0110,+61 8 6230 5176,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,false,https://www.asx.com.au/asx/1/image/logo/A1M?image_size=L&v=1579228468000,A1M,false,"""shares""",02220504,2020-03-31T16:46:58+1100,2020-03-31T16:39:42+1100,http://www.asx.com.au/asxpdf/20200331/pdf/44gkqsbrdntxr6.pdf,Annual Report 31 December 2019,false,66,AU0000049033,Ordinary Fully Paid,0.36,0.355,0.36,0.35,0.005,1.408%,169548,0.35,0.36,0.355,5.97%,0.431,2019-08-22T00:00:00+1000,0.206,2020-04-02T00:00:00+1100,2020-08-11T00:00:00+1000,0,-0.172,63530,0,24393831,68715018,24737000,68715018,false,,,,,,,,,,,2020-08-11 00:00:00.000
A200,BETASHARES AUSTRALIA 200 ETF,BETAAUS200,BETAAUSTRALIA200ETF,.,Not Applic,Not Applic,2018-05-08T00:00:00+1000,,http://www.betashares.com.au,"Level 11, 50 Margaret Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9290 6806,,LINK MARKET SERVICES LIMITED,"LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,false,,A200,false,"""shares"",""etps""",,,,,,,,AU00000A2000,Exchange Traded Fund Units Fully Paid,102.53,102.08,103.38,102.01,0.30,0.293%,19568,102,103,102.23,1.782%,120.21,2020-02-20T00:00:00+1100,74.1,2020-03-23T00:00:00+1100,2020-08-11T00:00:00+1000,39.37,2.5966,38183,0,0,0,829144000,8086843,false,,,,,,,,,,,2020-08-11 00:00:00.000
A2B,A2B AUSTRALIA LIMITED,A2B AUST,A2B AUSTRALIA LTD,A2B provides booking and dispatch technologies and payment solutions enabling the successful operation of personal transport services.,Transportation,Industrials,1999-12-14T00:00:00+1100,,http://www.a2baustralia.com,"Cabcharge House, 152-162 Riley Street, EAST SYDNEY, NSW, AUSTRALIA, 2010",(02) 9332 9248,(02) 9332 9263,LINK MARKET SERVICES LIMITED,"LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,false,https://www.asx.com.au/asx/1/image/logo/A2B?image_size=L&v=1558393434000,A2B,false,"""shares"",""warrants""",02166261,2019-10-30T12:37:19+1100,2019-10-30T12:34:03+1100,http://www.asx.com.au/asxpdf/20191030/pdf/44b1tf2b6jcwzx.pdf,Annual Report to shareholders,false,124,AU0000032187,Ordinary Fully Paid,0.895,0.87,0.9,0.87,0.040,4.678%,159949,0.88,0.91,0.855,1.786%,1.78,2019-08-20T00:00:00+1000,0.56,2020-04-21T00:00:00+1000,2020-08-11T00:00:00+1000,10.56,0.081,144819,9.36,102968234,120430683,107785000,120430683,false,"XAO,XEC",2020-02-27T00:00:00+1100,2020-03-27T00:00:00+1100,2020-04-30T00:00:00+1000,2020-03-30T00:00:00+1100,0.04,100.0,Interim,"AUD 0.04 FRANKED, 30 % CTR",2020-03-30T00:00:00+1100,2020-08-11 00:00:00.000
