code,name_full,name_short,name_abbrev,principal_activities,industry_group_name,sector_name,listing_date,delisting_date,web_address,mailing_address,phone_number,fax_number,registry_name,registry_address,registry_phone_number,foreign_exempt,logo_image_url,primary_share_code,recent_announcement,products,latest_annual_reports_id,latest_annual_reports_release_date,latest_annual_reports_document_date,latest_annual_reports_url,latest_annual_reports_title,is_latest_annual_reports_market_sensitive,latest_annual_reports_no_of_pages,isin_code,product_desc,last_price,open_price,day_high_price,day_low_price,change_price,change_in_percent,volume,bid_price,offer_price,previous_close_price,previous_day_percentage_change,year_high_price,year_high_date,year_low_price,year_low_date,last_trade_date,price_to_earning_ratio,earning_per_share,average_daily_volume,annual_dividend_yield,market_cap,number_of_shares,deprecated_market_cap,deprecated_number_of_shares,suspended,indices_index_code,last_dividend_announce_date,last_dividend_ex_date,last_dividend_payable_date,last_dividend_record_date,last_dividend_amount_in_dollars,last_dividend_raw_franked_percentage,last_dividend_type,last_dividend_comments,last_dividend_books_close_date,fundamental_data_date
5GN,5G NETWORKS LIMITED,5G NETWORK,5G NETWORKS LIMITED,"Data Network and Cloud services, including Manage IT services.",Telecommunication Services,Communication Services,2017-11-17T00:00:00+1100,,http://www.5gnetworks.com.au,"Level 8, 99 William Street, MELBOURNE, VIC, AUSTRALIA, 3000",03 8630 7777,03 8630 3799,LINK MARKET SERVICES LIMITED,"Level 21, 10 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 554 474,false,https://www.asx.com.au/asx/1/image/logo/5GN?image_size=L&v=1508286355000,5GN,false,"""shares""",02138106,2019-08-26T09:35:13+1000,2019-08-26T09:11:35+1000,http://www.asx.com.au/asxpdf/20190826/pdf/447v484d83n99z.pdf,Appendix 4E & Full Year Statutory Accounts,true,39,AU0000005GN9,Ordinary Fully Paid,1.81,1.81,1.85,1.795,0.015,0.836%,518038,1.81,1.815,1.795,-2.18%,2.07,2020-07-28T00:00:00+1000,0.54,2020-03-23T00:00:00+1100,2020-08-13T00:00:00+1000,0,-0.0551,1640415,0,163781226,91243023,165150000,91243023,false,,2019-08-26T00:00:00+1000,2019-09-19T00:00:00+1000,2019-10-18T00:00:00+1100,2019-09-20T00:00:00+1000,0.01,100.0,Final,1C FRANKED@30%; DRP  NIL DISCOUNT,2019-09-20T00:00:00+1000,2020-08-13 00:00:00.000
88E,88 ENERGY LIMITED,88 ENERGY,88 ENERGY LTD,Oil and Gas Exploration.,Energy,Energy,2000-01-20T00:00:00+1100,,http://www.88energy.com,"Level 2,, 5 Ord Street, WEST PERTH, WA, AUSTRALIA, 6005",+61 8 9485 0990,+61 8 9321 8990,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,false,,88E,false,"""shares""",02207226,2020-02-26T15:05:41+1100,2020-02-26T15:02:01+1100,http://www.asx.com.au/asxpdf/20200226/pdf/44fh3qrhjs4d9n.pdf,Annual Report to shareholders,false,71,AU00000088E2,Ordinary Fully Paid,0.005,0.005,0.005,0.005,0.000,0%,4957492,0.005,0.006,0.005,0%,0.026,2020-02-19T00:00:00+1100,0.004,2020-07-22T00:00:00+1000,2020-08-13T00:00:00+1000,0,-0.0058,13312370,0,43812545,8762509023,43813000,8762509023,false,XEC,,,,,,,,,,2020-08-13 00:00:00.000
8CO,8COMMON LIMITED,8COMMONLTD,8COMMON LIMITED,The development and distribution of two established software solutions.,Software & Services,Information Technology,2014-08-27T00:00:00+1000,,http://www.8common.com,"Walker Wayland NSW Chartered Accountants, Suite 1, Level 11, 60 Castlereagh Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9387 2509,N/A,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,false,,8CO,false,"""shares""",02154134,2019-10-01T10:27:24+1000,2019-10-01T10:15:51+1000,http://www.asx.com.au/asxpdf/20191001/pdf/4492yqm0psj1td.pdf,Full Year Statutory Accounts,false,63,AU0000008CO0,Ordinary Fully Paid,0.07,0.072,0.072,0.069,0.00,0%,231742,0.068,0.07,0.07,-6.667%,0.13,2019-11-19T00:00:00+1100,0.045,2020-03-24T00:00:00+1100,2020-08-13T00:00:00+1000,0,-0.0038,606652,0,12804198,182917118,12804000,182917118,false,,,,,,,,,,,2020-08-13 00:00:00.000
9SP,9 SPOKES INTERNATIONAL LIMITED,9SPOKES,9 SPOKES INT LIMITED,Software as a Service Provider,Software & Services,Information Technology,2016-06-09T00:00:00+1000,,http://www.9spokes.com,"Level 4, Aecom House, 8 Mahuhu Crescent, AUCKLAND, NZ, NEW ZEALAND, 1010",TBA,,BOARDROOM PTY LIMITED,"LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,false,,9SP,false,"""shares""",02255395,2020-07-15T16:06:29+1000,2020-07-15T15:56:55+1000,http://www.asx.com.au/asxpdf/20200715/pdf/44kkflsjrlqn62.pdf,Reissued Annual Report,false,74,NZ9SPE0001S1,Ordinary Fully Paid,0.039,0.036,0.042,0.035,0.004,11.429%,41693790,0.038,0.039,0.035,6.061%,0.063,2020-07-21T00:00:00+1000,0.008,2020-03-23T00:00:00+1100,2020-08-13T00:00:00+1000,0,-0.0053,20205600,0,42544581,1215559455,47407000,1215559455,false,,,,,,,,,,,2020-08-13 00:00:00.000
A1G,AFRICAN GOLD LTD.,AFR GOLD,AFRICAN GOLD LTD.,Mining and Exploration,Materials,Metals & Mining,2019-02-14T00:00:00+1100,,http://african-gold.com,"Suite 23, 513 Hay Street, SUBIACO, WA, AUSTRALIA, 6008",08 6166 9161,,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,false,,A1G,false,"""shares""",02220615,2020-03-31T19:12:18+1100,2020-03-31T18:59:34+1100,http://www.asx.com.au/asxpdf/20200331/pdf/44gkz5c0m4gb8g.pdf,Annual Report to shareholders,false,67,AU0000036949,Ordinary Fully Paid,0.17,0.17,0.17,0.17,0.00,0%,3320,0.17,0.18,0.17,-5.556%,0.26,2019-10-09T00:00:00+1100,0.038,2020-03-26T00:00:00+1100,2020-08-13T00:00:00+1000,0,-0.019,181817,0,10002000,58835295,5167000,30391544,false,,,,,,,,,,,2020-08-13 00:00:00.000
A1M,AIC MINES LIMITED,A1MINESLTD,AIC MINES LTD,Mining and exploration,Materials,Metals & Mining,1993-11-04T00:00:00+1100,,http://www.aicmines.com.au,"A8, Level 1, 435 Roberts Road, SUBIACO, WA, AUSTRALIA, 6008",+61 8 6269 0110,+61 8 6230 5176,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,false,https://www.asx.com.au/asx/1/image/logo/A1M?image_size=L&v=1579228468000,A1M,false,"""shares""",02220504,2020-03-31T16:46:58+1100,2020-03-31T16:39:42+1100,http://www.asx.com.au/asxpdf/20200331/pdf/44gkqsbrdntxr6.pdf,Annual Report 31 December 2019,false,66,AU0000049033,Ordinary Fully Paid,0.325,0.325,0.325,0.325,0.000,0%,73333,0.325,0.35,0.325,-9.722%,0.431,2019-08-22T00:00:00+1000,0.206,2020-04-02T00:00:00+1100,2020-08-13T00:00:00+1000,0,-0.172,67782,0,22332381,68715018,22332000,68715018,false,,,,,,,,,,,2020-08-13 00:00:00.000
A200,BETASHARES AUSTRALIA 200 ETF,BETAAUS200,BETAAUSTRALIA200ETF,.,Not Applic,Not Applic,2018-05-08T00:00:00+1000,,http://www.betashares.com.au,"Level 11, 50 Margaret Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9290 6806,,LINK MARKET SERVICES LIMITED,"LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,false,,A200,false,"""shares"",""etps""",,,,,,,,AU00000A2000,Exchange Traded Fund Units Fully Paid,101.76,103.13,103.19,101.6,-0.56,-0.547%,35677,101.68,103.2,102.32,-0.205%,120.21,2020-02-20T00:00:00+1100,74.1,2020-03-23T00:00:00+1100,2020-08-13T00:00:00+1000,39.41,2.5966,38254,0,0,0,822917000,8086843,false,,,,,,,,,,,2020-08-13 00:00:00.000
A2B,A2B AUSTRALIA LIMITED,A2B AUST,A2B AUSTRALIA LTD,A2B provides booking and dispatch technologies and payment solutions enabling the successful operation of personal transport services.,Transportation,Industrials,1999-12-14T00:00:00+1100,,http://www.a2baustralia.com,"Cabcharge House, 152-162 Riley Street, EAST SYDNEY, NSW, AUSTRALIA, 2010",(02) 9332 9248,(02) 9332 9263,LINK MARKET SERVICES LIMITED,"LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,false,https://www.asx.com.au/asx/1/image/logo/A2B?image_size=L&v=1558393434000,A2B,false,"""shares"",""warrants""",02166261,2019-10-30T12:37:19+1100,2019-10-30T12:34:03+1100,http://www.asx.com.au/asxpdf/20191030/pdf/44b1tf2b6jcwzx.pdf,Annual Report to shareholders,false,124,AU0000032187,Ordinary Fully Paid,0.94,0.92,0.95,0.92,0.015,1.622%,158996,0.935,0.945,0.925,3.352%,1.78,2019-08-20T00:00:00+1000,0.56,2020-04-21T00:00:00+1000,2020-08-13T00:00:00+1000,11.42,0.081,137180,8.65,111398382,120430683,113205000,120430683,false,"XAO,XEC",2020-02-27T00:00:00+1100,2020-03-27T00:00:00+1100,2020-04-30T00:00:00+1000,2020-03-30T00:00:00+1100,0.04,100.0,Interim,"AUD 0.04 FRANKED, 30 % CTR",2020-03-30T00:00:00+1100,2020-08-13 00:00:00.000
A2M,THE A2 MILK COMPANY LIMITED,A2 MILK,THE A2 MILK COMPANY,Premium branded dairy nutritional company focused on products containing the A2 beta-casein protein type.,"Food, Beverage & Tobacco",Consumer Staples,2015-03-31T00:00:00+1100,,http://www.thea2milkcompany.com,"Level 10, 51 Shortland Street, AUCKLAND, ., NEW ZEALAND, 1010",61 2 9697 7000,61 2 9697 7001,LINK MARKET SERVICES LIMITED,"LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,false,https://www.asx.com.au/asx/1/image/logo/A2M?image_size=L&v=1530764736000,A2M,false,"""shares"",""options"",""warrants""",02135825,2019-08-21T07:31:24+1000,2019-08-20T23:05:24+1000,http://www.asx.com.au/asxpdf/20190821/pdf/447nmllvdqkbtq.pdf,Annual Report FY19,false,56,NZATME0002S8,Ordinary Fully Paid,18.99,19.02,19.24,18.91,0.17,0.903%,1885032,18.98,18.99,18.82,-0.212%,20.05,2020-06-18T00:00:00+1000,11.28,2019-11-07T00:00:00+1100,2020-08-13T00:00:00+1000,44.97,0.4185,2763243,0,13924191943,739861421,14049968000,739861421,false,"XFL,XTO,XJO,XKO,XAO,XAF,XAT,XSJ",,,,,,,,,,2020-08-13 00:00:00.000
A3D,AURORA LABS LIMITED,AURORALABS,AURORA LABS LIMITED,"Development and supply of 3D metal printers, associated software and
consumable materials.",Capital Goods,Industrials,2016-08-16T00:00:00+1000,,http://www.auroralabs3d.com,"Unit 2, 79 Bushland Ridge, BIBRA LAKE, WA, AUSTRALIA, 6163",08 94341934,08 94341934,AUTOMIC REGISTRY SERVICES,"LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,false,,A3D,false,"""shares""",02139364,2019-08-28T08:37:37+1000,2019-08-28T08:33:04+1000,http://www.asx.com.au/asxpdf/20190828/pdf/447xzhx1650y2h.pdf,Appendix 4E and Annual Financial Report FY 2019,true,70,AU000000A3D7,Ordinary Fully Paid,0.086,0.088,0.088,0.086,-0.001,-1.149%,72500,0.086,0.093,0.087,-8.421%,0.34,2019-10-18T00:00:00+1100,0.054,2020-06-19T00:00:00+1000,2020-08-13T00:00:00+1000,0,-0.0908,356797,0,10203335,117279707,10086000,117279707,false,,,,,,,,,,,2020-08-13 00:00:00.000
A4N,ALPHA HPA LIMITED,ALPHA HPA,ALPHA HPA LTD,.,Materials,Metals & Mining,2007-10-22T00:00:00+1000,,,"Level 2, 66 Hunter Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9300 3310,02 9221 6333,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,false,https://www.asx.com.au/asx/1/image/logo/A4N?image_size=L&v=1580794943000,A4N,false,"""shares""",02163931,2019-10-25T11:50:30+1100,2019-10-25T11:45:41+1100,http://www.asx.com.au/asxpdf/20191025/pdf/449w688ch2jgvb.pdf,Annual Report and Notice of AGM,false,71,AU0000033060,Ordinary Fully Paid,0.22,0.215,0.22,0.215,0.00,0%,112539,0.215,0.22,0.22,0%,0.275,2020-02-10T00:00:00+1100,0.086,2020-03-24T00:00:00+1100,2020-08-13T00:00:00+1000,0,-0.0222,731244,0,149682694,680375880,149683000,680375880,false,,,,,,,,,,,2020-08-13 00:00:00.000
AAA,BETASHARES AUSTRALIAN HIGH INTEREST CASH ETF,BETACASH,BETASHARESCASHETF,The investment objective of the fund is to provide attractive and regular income distributions and a high level of capital security.,Not Applic,Not Applic,2012-03-07T00:00:00+1100,,http://www.betashares.com.au,"Level 11, 50 Margaret Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 6888,(02) 9262 4950,LINK MARKET SERVICES LIMITED,"LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,false,https://www.asx.com.au/asx/1/image/logo/AAA?image_size=L&v=1426736256000,AAA,false,"""shares"",""etps""",,,,,,,,AU000000AAA3,Exchange Traded Fund Units Fully Paid,50.07,50.08,50.08,50.07,-0.01,-0.02%,472102,50.07,50.08,50.08,0.01%,50.14,2019-09-30T00:00:00+1000,50.06,2020-07-01T00:00:00+1000,2020-08-13T00:00:00+1000,69.71,0.7184,269076,1.07,2134619686,42624195,2134193000,42624195,false,,2020-07-27T00:00:00+1000,2020-08-03T00:00:00+1000,2020-08-18T00:00:00+1000,2020-08-04T00:00:00+1000,0.02824816,0.0,Interim,AUD DRP,2020-08-04T00:00:00+1000,2020-08-13 00:00:00.000
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,AUST AG CO,AUSTRALIAN AGRICULT.,Agriculture,"Food, Beverage & Tobacco",Consumer Staples,2001-08-10T00:00:00+1000,,http://www.aaco.com.au,"Tower A, Level 1, Gasworks Plaza, 76 Skyring Terrace, NEWSTEAD, QLD, AUSTRALIA, 4006",(07) 3368 4449,07 3367 8612,LINK MARKET SERVICES LIMITED,"Level 21, 10 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 554 474,false,,AAC,false,"""shares""",02247630,2020-06-24T13:14:32+1000,2020-06-24T13:08:19+1000,http://www.asx.com.au/asxpdf/20200624/pdf/44jxb3lchzfdnz.pdf,AACo Annual Report,false,97,AU000000AAC9,Ordinary Fully Paid,1.04,1.025,1.04,1.02,0.02,1.961%,284759,1.035,1.04,1.02,-1.923%,1.33,2020-02-10T00:00:00+1100,0.945,2020-03-23T00:00:00+1100,2020-08-13T00:00:00+1000,19.43,0.0525,558057,0,614822082,602766747,626877000,602766747,false,"XKO,XAO,XSO",,,,,,,,,,2020-08-13 00:00:00.000
